gene_id,geneName,lascID,product,uniprot_id,MajorParts,Body_FC,Body_padj,Gland_FC,Gland_padj,Major_FC,Major_padj,Ampullate_FC,Ampullate_padj,max_tpm,Body_vs_Head,MajorGland_vs_Body,AmpullateGlands_vs_OtherGlands,Selection,Duct,Major,Sac,Tail,geneNameProtein,Group
augustus_masked-000031F-processed-gene-28.6,acp7,LASC004110,Acid phosphatase type 7,A5D6U8,Duct,1.0709142692738882,2.3942055430129767e-5,1.2848366665258555,0.1255818275367419,1.3251681950865732,2.070815564672798e-4,-0.1925778959587812,0.8860496662216624,8294.469080795534,0.010677984192056587,0.011386949251056348,0.016418124341205893,MajorSpecific,873.2533077149826,806.862751623299,842.8194956487338,341.8034513160802,NA,NA
augustus_masked-000043F-processed-gene-9.2,LASC004993,LASC004993,hypothetical protein,NA,Duct,6.991496684120092,7.51684916886037e-27,2.182389799595347,0.030080526209617195,2.8025286334456325,2.259654647320105e-6,2.68591384376526,1.1160842570764723e-5,2412.0247930721544,0.011421177327544984,0.01327755803036866,0.0244952685990475,MajorSpecific,841.0537783381808,460.14085423923495,554.299274336728,1.171069949046738,NA,NA
augustus_masked-000046F-processed-gene-9.3,inhba,LASC005233,Inhibin beta A chain,P27092,Duct,3.2401740480232113,0.0010911794352323194,2.9748579047026937,0.00330549542430151,3.219227108971972,4.069970609301697e-8,3.232346284229638,3.169831086362387e-6,371.28419574970053,0.008596606358706033,0.014336695689532863,0.028438165788306553,MajorSpecific,170.0108691647862,92.64057988521745,66.73377225174133,29.832328037139433,NA,NA
augustus_masked-000059F-processed-gene-26.5,LASC006407,LASC006407,hypothetical protein,NA,Duct,6.05017232865949,3.1276499961036896e-5,1.6056874738699345,0.11235066791510874,2.6770500496978724,3.71476533720153e-6,2.202153293219506,9.71705536403459e-4,18.099862317237726,0.010431444673961692,0.012899957200513408,0.022766553588476977,MajorSpecific,12.68363766412435,3.227238435292702,3.3430535716176726,0.03839141230476034,NA,NA
augustus_masked-000088F-processed-gene-12.10,nifk,LASC008425,MKI67 FHA domain-interacting nucleolar phosphoprotein-like,Q6GL69,Tail,0.530166902759874,0.004176562630015455,1.3423548957907918,3.2040841798383422e-6,1.3492006568287578,2.0812225813689194e-8,0.4221788778866079,0.20538932261724543,1080.3849856839659,0.009516474731789109,0.014209684228323593,0.010875004432408993,MajorSpecific,892.3005332233704,506.8850082188599,305.32348478108094,538.6802558241501,NA,NA
augustus_masked-000159F-processed-gene-9.3,MaSp2d,LASC012177,Major ampullate spidroin 2 variant 4 (Fragment),A0A2S2B4G4,Duct,2.6314233456735394,0.34556491408058276,-0.3297339067724735,NA,1.1883740946767802,NA,6.4750829840860415,0.010319614455178393,415.38451803583416,0.004346842259977789,0.0030047419286711344,0.010389394680863806,MajorSpecific,83.2284577045174,4.475206752620814,0.010383817931324864,0.030994182102988325,NA,NA
augustus_masked-000174F-processed-gene-11.1,LASC012880,LASC012880,hypothetical protein,NA,Sac,1.4301394054968573,0.7264783708273226,4.172815895702624,0.0031732578237613903,4.890914292261889,6.353035801134665e-5,3.881214961119537,5.094493607384786e-7,12.396732254658515,0.006299148365079042,0.012004641474323964,0.0264699810539116,MajorSpecific,1.8633059634373799,5.086412921854068,6.756545401310724,0.3569932269792159,NA,NA
augustus_masked-000271F-processed-gene-5.3,slc35g1_11,LASC016722,Solute carrier family 35 member G1,Q2M3R5,Duct,2.7440234687552945,0.4657361139328589,1.735148273081433,0.42453557307991385,2.386533113764786,0.2205773611386482,2.9197595015072797,0.05851140197182778,9.364213279975145,0.003832731236073632,0.006099272813558981,0.015095786462083044,MajorSpecific,3.494553065813929,0.5686242448355139,0.09553666258306721,0,NA,NA
augustus_masked-000271F-processed-gene-5.9,slc13a5,LASC016726,Solute carrier family 13 member 5,Q67BT3,Sac,5.431474845444951,2.1829182093502976e-21,2.8892318227607188,0.006908950099116076,3.825487410470647,9.45497812630764e-28,2.3396933451799544,0.005298824708751806,143.57890047721833,0.011449907901057453,0.015621156144956355,0.027137828619122548,MajorSpecific,6.085311679532893,51.16838440029445,82.20797510314137,0.14855720238563389,NA,NA
augustus_masked-000306F-processed-gene-9.10,pou3f4,LASC017625,POU domain%2C class 3%2C transcription factor 4,P62516,Duct,3.565215749551603,5.095557946623981e-7,1.854826206710788,0.04937951183364256,2.5995574330987674,5.456195890662268e-10,4.632969089876513,5.256250523749844e-33,117.70229043157045,0.010748114423783043,0.014349716122826622,0.03168680713866897,MajorSpecific,82.43082401872397,43.96003667441439,49.0157052227786,32.27769097529306,NA,NA
